#رقم 	مشكول	غير مشكول	جذر	وزن	صنف	اصل	معرفة	جنس	مؤنث	مذكر	عدد	الجمع	مفرده المحسوب	تأنيث	تثنية	ج.مؤ.س	ج. مذ. س.	منقوص	تنوين النصب	نسب	إض. لف.	ـو	نكرة	معرف	غ. عاقل	عاقل	تنون النصب للجمع	شرح
9907	مِيرَاثٌ	ميراث	ورث					مذكر			مفرد	مَوَارِيثُ 			DnN				Tn	R								". 1.""تَرَكَ مِيرَاثاً لِأَبْنَائِهِ"": تَرِكَةُ الْمَيِّتِ، أَيْ مَا خَلَّفَهُ مِنْ أَثَاثٍ وَأَمْوَالٍ وَعَقَارٍ. 2.""عِلْمُ الْمِيرَاثِ"" : عِلْمُ الفَرَائِضِ."
9909	مَوْرِدٌ	مورد	ورد					مذكر			مفرد	مَوَارِدُ 			DnN				Tn	R								". 1.""مَوْرِدُ الجَمَاعَةِ"" : مَكَانُ الْمَاءِ. 2.""وَأَخِيراً عَرَفَ العَطْشَانُ مَوْرِدَهُ"" : الطَّرِيقَ إِلَى الْمَاءِ. 3.""مَوْرِدُ الرِّزْقِ"" : مَصْدَرُهُ. 4.""تَبْحَثُ الدَّوْلَةُ عَنْ مَوَارِدَ جَدِيدَةٍ"" : عَنْ مَدَاخِيلَ جَدِيدَةٍ."
9942	مِيزَابٌ	ميزاب	وزب					مذكر			مفرد	مَيَازِيبُ 			DnN				Tn	R								. : قَنَاةٌ أَوْ أُنْبُوبٌ مِنْ مَعْدِنٍ أَوْ طِينٍ يَجْرِي فِيهِ الْمَاءُ مِنَ السَّطْحِ أَوْ مِنْ دَاخِلِ البُيُوتِ.
9968	مَوْسِمٌ	موسم	وسم					مذكر			مفرد	مَوَاسِمُ 			DnN				Tn	R								". 1.""مَوْسِمُ الْحَجِّ"" : مَجْمَعُ الْحَجِّ. 2.""مَوْسِمُ الوَلِيِّ الصَّالِحِ"" : اِحْتِفَالٌ يَقَعُ مَرَّة"
9970	مِيسَمٌ	ميسم	وسم					مذكر			مفرد	مَيَاسِمُ 			DnN				Tn	R								". 1.""مِيسَمُ الْمَرْأَةِ"" : حُسْنُهَا، جَمَالُهَا. 2. : الْحَدِيدَةُ أَوِ الْمِكْوَاةُ الَّتِي تُوسَمُ بِهَا الدَّوَابُّ."
9993	مَوْصِلٌ	موصل	وصل					مذكر			مفرد	مَوَاصِلُ 			DnN				Tn	R								". 1.""مَوْصِلُ الْحَبْلِ"" : مَوْضِعُ الوَصْلِ، مَعْقِدُهُ. 2.""مَوْصِلُ الذِّرَاعِ بِالكَتِفِ"" : مَفْصِل... 3.""مَوْصِلُ القَافِلَةِ"" : مَكانُ وُصولِها."
10012	مَوْضِعٌ	موضع	وضع					مذكر			مفرد	مَوَاضِعُ 			DnN				Tn	R								". 1.""حَرَّكَ الْمَقْعَدَ مِنْ مَوْضِعِهِ"" : مَكَانُ وَضْعِ الشَّيْءِ، مَحَلٌّ. ""مَوْضِعُ القَدَمِ"". 2.""كَانَ الإِرْثُ مَوْضِعَ نِزَاعٍ بَيْنَ الإِخْوَةِ"
10015	مَوْطِئٌ	موطئ	وطأ					مذكر			مفرد	مَوَاطِئُ 			Dz				Tn									". ""مَوْطِئُ القَدَمِ"" : مَوْضِعُ وَضْعِ القَدَمِ."
10025	مَوْطِنٌ	موطن	وطن					مذكر			مفرد	مَوَاطِنُ 			DnN				Tn	R								". 1.""يَحِنُّ إٍلَى مَوْطِنِهِ"" : إِلَى وَطَنِهِ. 2.""أَقَامَ فِي مَوْطِنِهِ زَمَناً"" : كُلُّ مَكَانٍ أَقَامَ بِهِ الإِنْسَا"
10037	مِيعَادٌ	ميعاد	وعد					مذكر			مفرد	مَوَاعِيدُ 			DnN				Tn	R								". 1.""حَدَّدَ الْمِيعَادَ عَلَى السَّاعَةِ العَاشِرَةِ"" : أَيْ وَقْتَ الوَعْدِ، الْمَوْعِد. ""لَوْ تَرَكَ مِنْ أَجْلِهَا مِيعَاداً لَتَرَكَتْ مِنْ أَجْلِهِ مَوَاعِيدَ"". (ع. م. العقاد). 2.""اِلْتَقَى بِهِ عَلَى غَيْرِ مِيعَادٍ"" : مِنْ غَيْرِ انْتِظَارٍ، فَجْأَةً. 3.""اِلْتَقَى ب"
10077	مَوْقِفٌ	موقف	وقف					مذكر			مفرد	مَوَاقِفُ 			DnN				Tn	R								". 1.""عَبَّرَ عَنْ مَوْقِفِهِ بِشَجَاعَةٍ"" : اِسْتَعْدَادٌ نَفْسِيٌّ أوْ رَأْيٌ إِزَاءَ شَخْصٍ أو قَضيَّةٍ مَّا يُعَبِّرُ فِيهِ صَاحِبُهُ عَمَّا يَشْعُرُ بِهِ. ""مَوْقِفٌ حَرِجٌ"" ""مَوْقِفٌ عَدَائِيٌّ"" ""اِسْتَطَاعَ أَنْ يُسَيْطِرَ عَلَى الْمَوْقِفِ كُلِّي"
10086	مَوْكِبٌ	موكب	وكب					مذكر			مفرد	مَوَاكِبُ 			DnN				Tn	R								". ""يَسِيرُ فِي طَلِيعَةِ الْمَوْكِبِ"" : جَمَاعَةٌ مِنَ النَّاسِ يَسِيرُونَ رَاكِبِينَ أو مَا"
10097	مَوْلِجٌ	مولج	ولج					مذكر			مفرد	مَوَالِجُ 			DnN				Tn	R								". ""مَوْلِجُ الدَّارِ"" : مَدْخَلُهَا، بَابُهَا."
10108	مَوَّالٌ	موال	ولي					مذكر			مفرد	مَوَاوِيلُ 			DnN				Tn									". ""أَنْشَدَ مَوَّالاً"" : نَوْعٌ مِنَ الغِنَاءِ يَرْتَكِزُ عَلَى مَقْطَعٍ وَاحِدٍ ويُرَدَّدُ مِرَاراً. ن. مَواليا."
10147	مَيْتَمٌ	ميتم	يتم					مذكر			مفرد	مَيَاتِمُ 			DnN				Tn	R								". ""نَشَأَ فِي الْمَيْتَمِ"" : مَلْجَأٌ لِلأَطْفَالِ اليَتَامَى."
2	جَارُورٌ	جارور	جرر					مذكر			مفرد				DnN	Pf			Tn	R								"جَارُورٌ-جَارُورٌ [ج ر ر] (اِسْمُ أَدَاةٍ). 1.""وَضَعَ أَلْعاَبَهُ فِي الجَارُورِ"" : صُنْدُ"
11	رُبَاعَ	رباع	ربع		اسم			مذكر			مفرد								Tn	Rp			N	N	N	N		"رُبَاعٌ-رُبَاعٌ [ر ب ع]. : اِسْمٌ مَعْدولٌ عَنْ أرْبَعَة أرْبَعة، مَمْنُوعٌ مِنَ الصَّرْفِ. ""وَصَلُوا رُبَاعَ"" :أَرْبَعَةً أرْبَعَةًفاطر آية 1 الحَمْدُ لِلَّهِ فاطِرِ السَّماواتِ والأَرْضِ جَاعِلِ الْمَلاَئِكَةِ رُسُلاً أُولِي أَجْنِحَةٍ مَثْنَى وَثُلاَثَ وَرُبَاعَ (قرآن)."
13	سَقَرُ	سقر	سقر		اسم			مذكر			مفرد				DnN					R			O	N	O	N	Non	سَقَرُ-سَقَرُ [س ق ر]. : اِسْمٌ مِنْ أسْمَاءِ جَهَنَّمَ. القمر آية 48 ي
17	حَرِيقٌ	حريق	حرق		اسم	الاِحْتِرَاقِ		مذكر			مفرد	حَرْقى 			DnN				Tn									"(اِسْمٌ مِنَ الاِحْتِرَاقِ). ""شَبَّ حَرِيقٌ فِي الْمَعْمَلِ"" : اِشْتِعالُ النَّارِ واضْطِرَامُها.¨ ""أسْرَعَ رِجَالُ الْمَطافِئِ لإطْفَاءِ الحَرِيقِ"" ""لِكُلِّ حَرِيقٍ مُطْفِئٌ"" .(ابن المقفع)."
21	ذَفافٌ	ذفاف	ذفف		اِسْمٌ	الذَّفِّ		مذكر			مفرد								Tn	R								"ذَفافٌ-ذَفافٌ [ذ ف ف] (اِسْمٌ مِنَ الذَّفِّ). ""ما ذاقَ ذَفافاً"" : شَيْئاً."
