#رقم	مشكول	غير مشكول	root	وزن	derived	الأصل	معرفة	جنس	مؤنثه	مذكره	عدد	الجمع	مفرد	التأنيث	التثنية	ج, مؤ, س,	ج, مذ, س,	المنقوص	تنوين النصب	نسب	إض, لف,	ـو	ك	كال	ها	هم	تنوين النصب للجمع	شرح	
352	صِحَافِيٌّ		صحف		منسوب	صِحَافَةٌ		مذكر			مفرد	+ون;+ات		Ta	DnT	Pf	PmS		Tn			ـو						"صِحَافِيٌّ-صِحَافِيٌّ، ةٌ [ص ح ف] (مَنْسُوبٌ إِلَى الصِّحَافَةِ). ""قَامَ بِعَمَلٍ صِحَافِيٍّ جَيِّدٍ"" : مَا يُقَدِّمُهُ الصِّحَافِيُّ مِنْ عَمَلٍ فِي مَجَالِ الصِّحَافَةِ."	
353	صَحْرَاوِيٌّ		صحر		منسوب	صَحْرَاءٌ		مذكر			مفرد	+ون;+ات		Ta	DnT	Pf	PmS		Tn			ـو						"صَحْرَاوِيٌّ-صَحْرَاوِيٌّ، ةٌ [ص ح ر] (مَنْسُوبٌ إِلَى الصَّحْرَاءِ). 1.""رَجُلٌ صَحْرَاوِيٌّ"" : مِنْ رِجَالِ الصَّحْرَاءِ. 2.""مُنَاخٌ صَحْرَاوِيٌّ"" : مُنَاخٌ شَدِيدُ الْحَرَارَةِ فِي النَّهَارِ وَالصَّيْفِ، شَدِيدُ البَرْدِ فِي اللَّيْلِ وَالشِّتَاءِ."	
354	صَخْرِيٌّ		صخر		منسوب	صَخْرٌ		مذكر			مفرد			Ta	DnT	Pf			Tn									"صَخْرِيٌّ-صَخْرِيٌّ، ةٌ [ص خ ر] (مَنْسُوبٌ إِلَى الصَّخْرِ). 1.""حَجَرٌ صَخْرِيٌّ"" : الْحَجَرُ الْمُتَكَسِّرُ مِنَ الصَّخْرِ الصَّلْبِ. 2.""مِنْطَقَةٌ صَخْرِيَّةٌ"" : مِنْطَقَةٌ بِهَا الْحَجَرُ الْعَظِيمُ الصَّلْبُ."	
355	صَنَوْبَرِيٌّ		صنوبري		منسوب	صَنَوْبَرٌ		مذكر			مفرد			Ta	DnT	Pf			Tn									صَنَوْبَرِيٌّ-صَنَوْبَرِيٌّ، ةٌ (مَنْسُوبٌ إِلَى الصَّنَوْبَرِ). : أَيْ مَا كَ	
356	صُوفِيٌّ		صوف		منسوب	صُوفٌ		مذكر			مفرد	+ون;+ات		Ta	DnT	Pf	PmS		Tn			ـو						"(مَنْسُوبٌ إِلَى الصُّوفِ). 1.""لِبَاسٌ صُوفِيٌّ"" : لِبَاسٌ مِنَ الصُّوفِ. 2.""كَانَ رَجُلاً صُوفِيّاً"" : السَّالِكُ طَرِيقَ التَّصَوُّفِ وَالتَّعَبُّدِ وَالزُّهْدِ وَالتَّقَشُّفِ."	
357	صُومَالِيٌّ		صومالي		منسوب	صُومَالٌ		مذكر			مفرد	+ون;ـ+ات		Ta	DnT	Pf	PmS		Tn			ـو						ج: ـون، ــات. (مَنْسُوبٌ إِلَى الصُّومَالِ).	
358	صَيْدَلِيٌّ		صيدل		منسوب	صَيْدَلَةٌ		مذكر			مفرد	+ات;صَيَادِلَةٌ		Ta	DnT	Pf			Tn									"(مَنْسُوبٌ إِلَى الصَّيْدَلَةِ). ""شَرَحَ لَهُ الصَّيْدَلِيُّ كَيْفَ يَتَنَاوَ"	
359	صَيَادِلَةٌ							مذكر			جمع		صَيْدَلِيٌّ						Tn										
360	صَيْفِيٌّ		صيف		منسوب	صَيْفٌ		مذكر			مفرد			Ta	DnT	Pf			Tn									"صَيْفِيٌّ-صَيْفِيٌّ، ةٌ [ص ي ف] (مَنْسُوبٌ إِلَى الصَّيْفِ). 1.""مَطَرٌ صَيْفِيٌّ"" : الْمَطَرُ الَّذِي يَنْزِلُ بِالصَّيْفِ. "	
361	ضَبَابِيٌّ		ضبب		منسوب	ضَبَابٌ		مذكر			مفرد			Ta	DnT	Pf			Tn									"ضَبَابِيَّةٌ-ضَبَابِيَّةٌ [ض ب ب] (مَنْسُوبٌ إِلَى الضَّبَابِ). 1.""عَاشَ فِي أَجْوَاءٍ ضَبَابِيَّةٍ"" : يَكْتَنِفُهَا الضَّبَابُ. 2.""أُمورٌ"	
