#رقم	مشكول	غير مشكول	جذر	وزن	صنف	أصل	معرفة	جنس	مؤنثه	مذكره	عدد	الجمع	مفرده	التأنيث	التثنية	ج, مؤ, س,	ج, مذ, س,	المنقوص	تنوين النصب	نسب	إض, لف,	ـو	ك	كال	ها	هم	 تنوين النصب للجمع 	شرح	
96	أَسْبَقُ		سبق		اسم تفضيل			مذكر	سُبْقَى		مفرد	+ون;أسابق;مؤ:;سبقى;+ات			DnN		Pm										Non	"أَسْبَقُ-أَسْبَقُ [س ب ق] (أَفْعَلُ التَّفْضِيل). 1.""مَنْ هُوَ الأسْبَقُ"" : مَنْ هُوَ الأَوَّلُ. 2.""أَنَا أَسْبَقُ مِنْهُ"" : أَنَا قَبْلَهُ."	
97	أَسَابِقُ		سبق		اسم تفضيل			مذكر			جمع																Non		
98	سُبْقَى		سبق		اسم تفضيل			مؤنث			مفرد	+ات			Dy	Pf											Non		
99	أَسْلَسُ		سلس		اسم تفضيل			مذكر	سُلْسَى		مفرد	أسالس;مؤ:;سلسى;+ات															Non	"أَسْلَسُ-أَسْلَسُ [س ل س] (أَفْعَلُ التَّفْضِيل). ""أَسْلَسُ القِيادَةِ"": سَهْلُ القِيادَةِ. ""العَربِيَّةُ أَسْلَسُ حُرُوفاً وَأَرَقُّ لَفْظاً وَأَخَفُّ اسْمًا"". (التوحيدي)."	
100	أسَالس		سلس		اسم تفضيل			مذكر			جمع																Non		
101	سُلْسَى		سلس		اسم تفضيل			مؤنث			مفرد	+ات			Dy	Pf											Non		
102	أَشْقى		شقي		اسم تفضيل			مذكر	شُقْيَا		مفرد	+ون			Dy		Pm										Non	"أَشْقى-أَشْقى [ش ق ي] (أَفْعَلُ التَّفْضِيل). ""مِنْ أَشْقَى زُمَلائِهِ"": مِنْ أَتْعَسِهِمْ، أَنْكَدِهِمْ."	
103	أَشَاقِيُ		شقي		اسم تفضيل			مذكر			جمع							Tk									Non		
104	شُقْيَا		شقي		اسم تفضيل			مؤنث			مفرد	+ات			Dy	Pf											Non		
105	أَصْدَقُ		صدق		اسم تفضيل			مذكر	صُدْقَى		مفرد	+ون;أصادق;مؤ:;صدقى;+ات			DnN		Pm										Non	"أَصْدَقُ-أَصْدَقُ [ص د ق] (أَفْعَلُ التَّفْضِيل). ""هُوَ أَصْدَقُ مِنْ غَيْرِهِ"" : أَ"	
106	أَصَادِقُ		صدق		اسم تفضيل			مذكر			جمع																Non		
107	صُدْقَى		صدق		اسم تفضيل			مؤنث			مفرد	+ات			Dy	Pf											Non		
108	أوْجَهُ		وجه		اسم تفضيل			مذكر	وُجْهَى		مفرد	+ون;أواجه;مؤ:;وجهى;+ات			DnN		Pm										Non	"أوْجَهُ-أوْجَهُ [و ج هـ] (أَفْعَلُ التَّفْضِيل). ""هُوَ أوْجَهُ قَوْمِهِ"": أكْثَرُهُمْ جَاهاً، أفْضَلُهُمْ مَكَانَةً."	
109	أَوَاجِهُ		وجه		اسم تفضيل			مذكر			جمع																Non		
110	وُجْهَى		وجه		اسم تفضيل			مؤنث			مفرد	+ات			Dy	Pf											Non		
111	أوْسَعُ		وسع		اسم تفضيل			مذكر	وُسْعَى		مفرد	أواسع;مؤ:;وسعى;+ات															Non	"أوْسَعُ-أوْسَعُ [و س ع] (أَفْعَلُ التَّفْضِيل). مؤ: وُسْعَى. 1.""أوْسَعُ صَدْراً"" : أرْحَبُ، الأكْثَرُ رَحَابَةً. 2.""عَلَى نِطَاقٍ أوْسَعَ"" : أعَمَّ. 3.""كَانَ يَرَى فِي ذَلِكَ أوْسَعَ مَدىً"" : أفْسَحَ وَأبْعَدَ مَدىً."	
112	أَوَاسِعُ		وسع		اسم تفضيل			مذكر			جمع																Non		
113	وُسْعَى		وسع		اسم تفضيل			مؤنث			مفرد	+ات			Dy	Pf											Non		
114	أوْعَرُ		وعر		اسم تفضيل			مذكر	وُعْرَى		مفرد	أواعر;مؤ:;وعرى;+ات															Non	"أوْعَرُ-أوْعَرُ [و ع ر] (أَفْعَلُ التَّفْضِيل). 1.""أَوْعَرُ مَكَانٍ فِي الجَبَ"	
115	أَوَاعِرُ		وعر		اسم تفضيل			مذكر			جمع																Non		
116	وُعْرَى		وعر		اسم تفضيل			مؤنث			مفرد	+ات			Dy	Pf											Non		
117	أَوْعَى		وعي		اسم تفضيل			مذكر	وُعْيَا		مفرد	+ون;أواعي;مؤ:;وعيا;+ات			Dy		Pm										Non	"أَوْعَى-أَوْعَى [و ع ي] (أَفْعَلُ التَّفْضِيل). ""هُوَ أوْعَى مِنْ كُلِّ زُمَلائِهِ"" : أكْثَرُهُمْ فَهْماً واسْتيعَاباً."	
118	أَوَاعِيُ		وعي		اسم تفضيل			مذكر			جمع							Tk									Non		
119	وُعْيَا		وعي		اسم تفضيل			مؤنث			مفرد	+ات			Dy	Pf											Non		
120	أَيْسَرُ		يسر		اسم تفضيل			مذكر	يُسْرَى		مفرد	أياسر;مؤ:;يسرى;+ات															Non	"أَيْسَرُ-أَيْسَرُ [ي س ر] (أَفْعَلُ التَّفْضِيل). 1.""عَمَلُ اليَوْمِ أيْسَرُ مِنْ عَمَلِ الأمْسِ"" : أسْهَلُ، أبْسَطُ. ""تَخَافُ عَلَى ابْنِهَا مِنْ أيْسَرِ جُهْدٍ"". 2.""كَانَ عَلَى أيْسَرِهِ"" : فِي جَانِبِ يَدِهِ اليُسْرَى. 3. ""هُوَ وَلَدٌ أيْسَرُ"" : يَعْمَلُ بِاليَدِ اليُسْرَى."	
121	أَيَاسِرُ		يسر		اسم تفضيل			مذكر			جمع																Non		
122	يُسْرَى		يسر		اسم تفضيل			مؤنث			مفرد	+ات			Dy	Pf											Non		
123	أَجْدَى		جدو		اسم تفضيل			مذكر	جُدْوَى		مفرد				Dy												Non	"أَجْدَى-أَجْدَى [ج د و] (أَفْعَلُ التَّفْضِيلِ). ""هَذَا العَمَلُ أَجْدَى لَكَ"" : أنْفَعُ لَك"	
124	أَجَادِىُ		جدو		اسم تفضيل			مذكر			جمع																Non		
125	جُدْوَى		جدو		اسم تفضيل			مؤنث			مفرد	+ات			Dy	Pf											Non		
