#رقم	مشكول	غيرمشكول	جذر	وزن	صنف	أصل	معرفة	جنس	مؤنث 	مذكر	عدد	الجمع	مفرد	التأنيث	التثنية	ج, مؤ, س,	ج, مذ, س,	المنقوص	تنوين النصب	نسب	إض. لف.	ـو	ك	كال	ها	هم	تنون النصب	
761	حالِكٌ		حلك	فَاعِلٌ	صفة مشبهة			مذكر			مفرد	+ات		Ta	DnT	Pf			Tn									"حالِكٌ-حالِكٌ، ةٌ [ح ل ك] (صف). ""لَيْلٌ حالِكٌ"" : شَديد الظّلْمَةِ، شَديد السَّوادِ. ""تَحَوَّلَتْ أَيَّامي إلى لَيْلٍ طَويلٍ حالِكٍ"". (جبران خ. جبران). "
762	مرٌّ		مرر		صفة مشبهة			مذكر			مفرد	+ات;أمْرارٌ		Ta	DnT	Pf			Tn									". 1 .""طَعْمٌ مرٌّ"" : طَعْمٌ مَذَاقه بِهِ مَرَارَةٌ. ""تَجَرَّعَ دَوَاءً مرّاً"" ""أَذَاقَه مرَّ العَيْشِ"". 2. : صَمْغ شَجَرٍ يسْتَعْمَل فِي الطِّبِّ، طَيِّب الرّائِحَةِ مرّ الطَّعْمِ."
763	أَمْرَارٌ		مرر		صفة مشبهة			مذكر			جمع								Tn									
764	حلْوٌ		حلو	فعْلٌ	صفة مشبهة			مذكر			مفرد	+ات		Ta	DnT	Pf			Tn									"حلْوٌ-حلْوٌ [ح ل و] (صف). 1. ""أَكَلَ طَعَاماً حلْواً"" : طَيِّباً لَذِيذاً، فيهِ حَلاوَةٌ. 2.""هوَ حلْو الحَدِيثِ"" : حَسَنه، شَيِّقه. 3.""شابٌّ حلْوٌ"" : جَميلٌ، رَشِيقٌ."
765	صلْبٌ		صلب		صفة مشبهة			مذكر			مفرد	أَصْلاَبٌ;أَصْلبٌ		Ta	DnT				Tn									". 1.""هوَ رَجلٌ صلْبٌ"" : شَدِيدٌ، قَوِيٌّ. ""حَجَرٌ صلْبٌ"". 2.""هوَ مِنْ صلْبِهِ"" : مِنْ نَسْلِهِ وَذرِّيَّتِهِ، وَيطْلَق عَلَى عَظْمٍ فِي الظَّهْرِ ذِي فَقَارٍ يَمْتَدّ مِنَ الْكَاهِلِ إِلَى أَسْفَلِ الظَّهْرِ. الطارق آية 7 يَخْرج مِنْ بَيْنِ الصّلْبِ وَالتَّرَائِبِ . (قرآن). 3."
766	تَالِدٌ		تلد	فَاعِلٌ	صفة مشبهة			مذكر			مفرد	+ات		Ta	DnT	Pf			Tn									"تَالِدٌ-تَالِدٌ [ت ل د] (صف). 1.""عَرَفَ الأَمِير عِزّاً تَالِداً"": أَصِيلاً. ""وَلاَ يَكون الْمَرْء نبيلا حتى يَكونَ نَبِيلَ الرَّأْيِ، إِنْ وَافَقَ ذَلِكَ عِرْقاً صَالِحاً وَمَجْداً تَالِداً"".(التوحيدي). 2.""وَرِثَ مَالاً تَالِداً "" : مَالاً ورِثَ أَباً عَنْ جَدٍّ."
767	تَمْتامٌ		تمتم		(صفة مشبهة - ربــاعي)			مذكر			مفرد	+ات		Ta	DnT	Pf			Tn									"تَمْتامٌ-تَمْتامٌ [ت م ت م] (صف). ""نَشَأَ تَمْتاماً"" : مَنْ يتَمْتِم في كَلامِهِ، اللَّجْلاج."
768	بَهِيّ		بهي،بهو	فَعِيل	صفة مشبهة			مذكر			مفرد	+ات		Ta	DnT	Pf			Tn									"بَهِيّ-بَهِيّ، ةٌ [ب هـ ي، ب هـ و] (صف). 1.""كَانَ بَهِيَّ الطَّلْعَةِ"" : حَسَنَهَا، جَمِيلَهَا. 2.""بَهِيَّةٌ فِي جَمَالِهَا"" : جَمِيلَةٌ، فاتِنَةٌ."
769	أَكِيدٌ		أكد	فَعِيل	صفة مشبهة			مذكر			مفرد	+ات		Ta	DnT	Pf			Tn									"أَكِيدٌ-أَكِيدٌ [أ ك د] (صف). 1.""أَمْرٌ أَكِيدٌ"" : ثابِتٌ، محَقَّقٌ لا نِزَاعَ فِيهِ. ""كلّ الدَّلائِلِ تشِير إِلَى أَنَّ الجَيْشَ سَيحَقِّق نَصْراً أَكِيداً"" ""مِنَ الأَكِيدِ أنَّ النَّجَاحَ سَيحَالِفه"". 2.""أكِيداً"" : يَقِيناً، حَقِيقَةً، حَقّاً، بِالتَّأْكِيدِ."
770	جَبَانٌ		جبن		صفة مشبهة			مذكر	جَبْنَاءُ		مفرد	+ات;جبَنَاء		Ta	DnT	Pf			Tn									". ""إِنَّه جَبَانٌ، يَخَاف مِنْ ظِلِّهِ"": الخَوَّاف، أَي الخَائِف مِنْ فِعْلِ أَيِّ شَيْءٍ عَ"
771	جَبْنَاءُ		جبن		صفة مشبهة			مؤنث			مفرد																Non	
772	شجَاعٌ		شجع		صفة مشبهة			مذكر	شَجْعَاءُ		مفرد	+ات;شجْعَانٌ;شجَعَاء;شِجاعٌ;شجائع		Ta	DnT	Pf			Tn									". ""كَانَ قَائِداً شجَاعاً"" : مِقْدَاماً، جَرِيئا، بَاسِلاً، جَسوراً، مَنْ يَخوض الْمَعَارِكَ بِجرْأَةٍ وَإِقْدَامٍ، رَابِطَ الجَأْشِ. ""مَا أَحْوَجَ الجَبَانَ إلَى أَنْ يَسْمَعَ أَحَادِيثَ الشّجْعَانِ"". (التوحيدي)."
773	شُجْعَانٌ		شجع		صفة مشبهة			مذكر			جمع								Tn									
774	شَجْعَاءُ		شجع		صفة مشبهة			مؤنث			مفرد																Non	
775	شَجَائِعٌ		شجع		صفة مشبهة			مؤنث			جمع		شُجْعَانٌ														Non	
776	أَمِنٌ		أمن	فَعِل	صفة مشبهة			مذكر			مفرد	+ون;+ات		Ta	DnT	Pf	Pm		Tn									"أَمِنٌ-أَمِنٌ [أ م ن] (صف). ""هوَ أَمِنٌ في مَسْكَنِهِ"" : مطْمَئِنٌّ."
777	غَنِيٌّ		غني	فَعِيل	صفة مشبهة			مذكر			مفرد	+ون;+ات;أَغْنِيَاء		Ta	DnT	Pf	PmS		Tn									"(مص. غَنِيَ). 1.""هوَ اللَّه الْغَنِيّ"" : اِسْمٌ مِنْ أَسْمَاءِ اللَّهِ الْحسْنَى الَّذِي لاَ يَحْتَاج إِلَى أَحَدٍ سِوَاه فِي شَيْءٍ. 2.""عَبْد الْغَنِيِّ"" : اِسْم عَلَمٍ مرَكَّبٌ . 3.""ه"
778	أَغْنِيَاء		غني		صفة مشبهة			مذكر			جمع																Non	
779	ثَرِيٌّ		ثري	فَعِيل	صفة مشبهة			مذكر			مفرد	+ون;+ات;أثرياء		Ta	DnT	Pf	PmS		Tn									"ثَرِيٌّ-ثَرِيٌّ [ث ر ي] (فا. من ثَرِيَ). ""رَجلٌ ثَرِيٌّ"" : كَثِير الْمَالِ."
780	أَثْرِياءٌ		ثري		صفة مشبهة			مذكر			جمع																Non	
781	ذَكِيٌّ		ذكو		صفة مشبهة			مذكر			مفرد	+ون;+ات;أَذْكِياء		Ta	DnT	Pf	PmS		Tn									". ""وَلَدٌ ذَكِيٌّ"": وَلَدٌ لَبيبٌ، سَريع الفَهْمِ."
782	أَذْكِياء		ذكو		صفة مشبهة			مذكر			جمع																Non	
783	زَكِيٌّ		زكو		صفة مشبهة			مذكر			مفرد	+ون;+ات;أَزْكِياء		Ta	DnT	Pf	PmS		Tn									". 1.""عَطَّرَتْ ثِيابَها بِعِطْرٍ زَكِيٍّ"" : أَي بِعِطْرٍ طَيِّبٍ. 2.""لَه نَفْسٌ زَكِيَّةٌ"" : صالِحَةٌ، طاهِرَةٌ، عَفيفَةٌ، طَيِّبَةٌ. 3.""عادَ إلى الأَرْضِ الزَّكِيَّةِ"" : الأَرْض الطَّيِّبَة، الخِصْبَة. 4.""زَكِيٌّ"" : اِسْم عَلَمٍ لِلْمذَكَّرِ. ""زَكِيَّة"" : اِسْم عَلَمٍ لِلْمؤَنَّثِ."
784	أَزْكِياء		زكو		صفة مشبهة			مذكر			جمع																Non	
