#رقم	مشكول	غيرمشكول	جذر	وزن	صنف	أصل	معرفة	جنس	مؤنث	مذكر	عدد	الجمع	مفرده	التأنيث	التثنية	ج, مؤ, س,	ج, مذ, س,	المنقوص	تنوين النصب	نسب	إض, لف,	ـو	ك	كال	ها	هم	تنون النصب للجمع	شرح
319	كَفْأَةٌ		كفأ		صفة			مذكر			مفرد	+ات;:أَكْفَاءٌ;كِفَاءٌ			DnN	Pf			Tn									". 1.""هُوَ كَفْءٌ لَهُ"": مِثْلُهُ، نَظِيرُهُ. 2.""مُوَظَّفٌ كَفْءٌ"" : كُفْؤٌ، مُقْتَدِرٌ."
320	كُفُؤٌ		كفأ		صفة			مذكر			مفرد	أَكْفَاءٌ;كِفَاءٌ			Dz				Tn									". 1.""هُوَ كُفُؤٌ لِهَذَا العَمَلِ"" : قَادِرٌ عَلَيْهِ، مُهَيَّأٌ لَهُ، جَدِيرٌ بِهِ. 2.""مُوَظَّفٌ كُفُؤٌ"" : يَتَمَتَّعُ بِمُؤَهِّلاَتٍ، مُقْتَدِرٌ. 3.""هُوَ كُفُؤٌ لَهُ"" : نَظِيرٌ لَهُ، مِثْلُهُ.الإخلاص آية 4وَلَمْ يَكُنْ لَهُ كُفُؤاً أَحَدٌ (قرآن)."
321	أَكْفَاءٌ		كفأ		صفة			مذكر			جمع																	
322	كِفَاءٌ		كفأ		صفة			مذكر			جمع																	
323	كَفِيفٌ		كفف		صفة			مذكر			مفرد	+ون;+ات;أَكِفَّاءُ		Ta	DnT	Pf	Pm		Tn									". ""رَجُلٌ كَفِيفٌ"" : أَعْمَى. ""كَفِيفُ البَصَرِ""."
324	أَكِفَّاءُ		كفف		صفة			مذكر			جمع																Non	
325	كَفِيٌّ		كفي		صفة			مذكر			مفرد	+ات;		Ta	DnT	Pf			Tn									"كَفِيٌّ-كَفِيٌّ [ك ف ي]. 1.""رَجُلٌ كَفِيٌّ"" : يُسْتَغْنَى وَيُكْتَفَ"
326	كَلِئٌ		كلأ		صفة			مذكر			مفرد	+ات;		Ta	DnT	Pf			Tn									"كَلِئٌ-كَلِئٌ، ةٌ [ك ل أ]. ""أَرْضٌ كَلِئَةٌ"" : كَثِيرَةُ الكَلَإِ."
327	كُلْثُومٌ		كلثم		صفة			مذكر			مفرد								Tn									"كُلْثُومٌ-كُلْثُومٌ [ك ل ث م]. 1.""اِمْرَأَةٌ كُلْثُومٌ"" : مُمْتَلِئَةُ لَحْمِ الْخَدَّيْنِ وَالوَجْهِ. 2. : الْحَرِيرُ عَلَى رَأْسِ العَلَمِ. 3. ""كُلْثوم"" : اسْمُ عَلَمٍ لِلإِنَاثِ."
328	كُلْسَةٌ		كلس		صفة			مذكر			مفرد								Tn									"كُلْسَةٌ-كُلْسَةٌ [ك ل س]. ""صَارَ لَوْنُهُ كُلْس"
329	كُنْدُرٌ		كندر		صفة			مذكر			مفرد	كَنَادِرَةٌ			DnN				Tn									"ج: كَنَادِرَةٌ. ""رَجُلٌ كُنْدُرٌ"" : غَلِيظٌ وَقَصِيرٌ مَعَ شِدَّةٍ. ""فِتْيَانٌ كَنَادِرَةٌ""."
330	كَنَادِرَةٌ		كندر		صفة			مذكر			جمع																	
331	كَوْثَرٌ		كوثر		صفة			مذكر			مفرد								Tn									"كَوْثَرٌ-كَوْثَرٌ [ك و ث ر]. 1.""جَيْشٌ كَوْثَرٌ"" : عَدَدُهُ كَثِيرٌ. 2.""رَجُلٌ كَوْثَرٌ"" : رَجُلٌ سَخِيٌّ. 3.الك"
