#رقم	مشكول	غيرمشكول	جذر	وزن	صنف	أصل	معرفة	جنس	مؤنث	مذكر	عدد	الجمع	مفرد	التأنيث	التثنية	ج, مؤ, س,	ج, مذ, س,	المنقوص	تنوين النصب	نسب	إض, لف,	ـو	ك	كال	ها	هم	تنوين النصب للجمع	شرح
1089	رَبيزٌ		ربز	فَعِيل	صيغة			مذكر			مفرد	+ات;		Ta	DnN	Pf			Tn									"رَبيزٌ-رَبيزٌ [ر ب ز] (صِيغَةُ فَعِيل). ""فَنَّانٌ رَبِيزٌ"" : ماهِرٌ، بارِعٌ فِي فَنِّهِ."
1090	رَبِيكٌ		ربك	فَعِيل	صيغة			مذكر			مفرد	+ات;		Ta	DnN	Pf			Tn									"رَبِيكٌ-رَبِيكٌ، ةٌ [ر ب ك] (صِيغَةُ فَعِيل). ""رَجُلٌ رَبيكٌ"" : مُخْتَلِطٌ فِي أمْرِهِ."
1091	رَجِيلٌ		رجل	فَعِيل	صيغة			مذكر			مفرد	+ات;أَرْجِلَةٌ;		Ta	DnN	Pf			Tn									"(صِيغَةُ فَعِيل). 1.""رَجُلٌ رَجِيلٌ"" : صَلْبٌ قَوِيٌّ عَلَى الْمَشْيِ، صَبُورٌ عَلَيْهِ. 2.""فَرَسٌ رَجِيلٌ"" : لا يَعْرَقُ. 3.""كَلامٌ رَجِيلٌ"" : مُرْتَجَلٌ."
1093	رَجِيمٌ		رجم	فَعِيل	صيغة			مذكر			مفرد	+ات;		Ta	DnN	Pf			Tn									"رَجِيمٌ-رَجِيمٌ [ر ج م] (صِيغَةُ فَعِيل). ""إنَّهُ لَوَلَدٌ رَجِيمٌ"" : لَعِينٌ، مَلْعُونٌ. ""أَعُوذُ بِاللَّهِ مِنَ الشَّيْطَانِ الرَّجِيمِ""."
1094	رَحِيبٌ		رحب	فَعِيل	صيغة			مذكر			مفرد	+ات;رُحُبٌ;		Ta	DnN	Pf			Tn			ـو						"(صِيغَةُ فَعِيل). 1.""اِسْتَقَرَّ فِي مَكَانٍ رَحِيبٍ"" : رَحْبٌ، مُتَّسِعٌ. 2.""هُوَ رَحِيبُ الصَّدْرِ"" : أيْ وَاسِعُهُ. 3.""رَحِيبُ البَاعِ"" : أيْ سَخِيٌّ، كَرِيمٌ."
1096	رَحِيمٌ		رحم	فَعِيل	صيغة			مذكر			مفرد	+ون;+ات;رُحَمَاءُ;		Ta	DnN	Pf	Pm		Tn									"(صِيغَةُ فَعِيل). 1.""هُوَ اللَّهُ الرَّحِيمُ"" : مِنْ أَسْمَاءِ اللَّهِ الحُسْنَى، أيْ كَثِيرُ الرَّحْمَةِ. ""بِسْمِ اللَّهِ الرَّحْمَانِ الرَّحِيمِ"" ""هُوَ رَحِيمٌ بِعِبَادِهِ"". 2.""عَبْدُ الرَّحِيمِ"" : اِسْمُ عَلَمٍ مُرَكَّبٌ."
1098	رَخِيصٌ		رخص	فَعِيل	صيغة			مذكر			مفرد	+ات;رَخَائِصُ;		Ta	DnN	Pf			Tn									"(صِيغَةُ فَعِيل). 1.""عَيْشٌ رَخِيصٌ"" : سَهْلٌ، لَيِّنٌ. 2.""لَمْ يَجِدْ شَيْئاً رَخِيصاً فِي السُّوقِ"" : زَهِيداً، مَا يُكُونُ ثَمَنُهُ قَلِيلاً غَيْرَ مُرْتَفِعٍ. ""وَجَدَ كُلَّ البَضَائِعِ رَخِيصَةً"". 3.""نَبَاتٌ رَخِيصٌ"" : نَاعِمٌ."
1100	رَدِيفٌ		ردف	فَعِيل	صيغة			مذكر			مفرد	+ات;رِدَافٌ;رُدَفَاءُ;		Ta	DnN	Pf			Tn									"(صِيغَةُ فَعِيل). 1. ""إِنَّهُ جُنْدِيٌّ رَدِيفٌ"" : مِنَ الجُنودِ الاحْتِياطِيِّينَ. ""لاعِبٌ رَديفٌ"". 2. ""رَدِيفُ الرَّاكِبِ"" : الرَّاكِبُ خَلْفَ صَاحِبِ الفَرَسِ أوِ الدَّرَّاجَةِ."
1103	رَزينٌ		رزن	فَعِيل	صيغة			مذكر			مفرد	+ون(sûr);+ات;(ج);رِزَانٌ		Ta	DnN	Pf	Pm		Tn									"رَزينٌ-رَزينٌ [ر ز ن] (صِيغَةُ فَعِيل). 1.""جَلَسَ رَزِيناً فِي مَقْعَدِهِ"" : سَاكِناً، ثَابِتاً. 2.""عَرَفْتُهُ شَابّاً رَزِيناً"" : وَقُوراً، حَلِيماً. 3.""عَرَفْتُهُ رَزِينَ الرَّأْيِ"" : أصِيلَ الرَّأْيِ."
1105	رَشيحٌ		رشح	فَعِيل	صيغة			مذكر			مفرد								Tn									"رَشيحٌ-رَشيحٌ [ر ش ح] (صِيغَةُ فَعِيل). 1.""رَشيحُ الأَرْضِ"" : ما علَى وَجْهِها مِنْ نَباتٍ. 2.""رَشيحُ الجَسَدِ"" : عَرَقُهُ."
1106	رَضيعٌ		رضع	فَعِيل	صيغة			مذكر			مفرد	+ات;رُضَعاءُ;رُضَّعٌ;رُضُعٌ;(ج);رضائع		Ta	DnN	Pf			Tn									"(صِيغَةُ فَعِيل). 1.""طِفْلٌ رَضيعٌ"" : في طَوْرِ الرَّضاعَةِ، الرَّاضِعُ. 2.""أَلاَ تَعْلَمُ أَنَّهُ رَضيعُكَ "" : أَيْ أَخَوانِ مِنَ الرَّضاعَةِ، ""أَنْتَ رَضيعُهُ"" : أَيْ أَنْتُما رَضيعانِ، أَخَوانِ مِنَ الرَّضاعَةِ."
1111	رَضيفٌ		رضف	فَعِيل	صيغة			مذكر			مفرد	+ات;		Ta	DnN	Pf			Tn									"رَضيفٌ-رَضيفٌ [ر ض ف] (صِيغَةُ فَعِيل). 1.""وضَعَ اللَّحْمَ على الرَّضيفِ"" : الحِجارَةُ الْمُحْمَاةُ. 2.""لَحْمٌ رَضيفٌ"" : ما يُشْوَى مِنَ اللَّحْمِ على الرَّضْفِ. 3.""لَبَنٌ رَضيفٌ"" : اللَّبَنُ الَّذِي طُرِحَتْ فيهِ الحِجارَةُ الْمُحْماةُ لِيُغْلَى."
1112	رَطيبٌ		رطب	فَعِيل	صيغة			مذكر			مفرد	+ات;		Ta	DnN	Pf			Tn									"رَطيبٌ-رَطيبٌ [ر ط ب] (صِيغَةُ فَعِيل). 1.""هُوَ في عَيْشٍ رَطيبٍ"" : في عَيْش هَنِيءٍ، مَيْسورٍ، مُريحٍ. 2.""غُصْنٌ رَطيبٌ"" : لَيِّنٌ ناعِمٌ. ""رِيشٌ رَطِيبٌ""."
