#رقم	مشكول	غير مشكول	جذر	وزن	صنف	أصل	معرفة	جنس	مؤنثه	مذكره	عدد	الجمع	مفرد	التأنيث	التثنية	ج, مؤ, س,	ج, مذ, س,	المنقوص	تنوين النصب	نسب	إض, لف,	ـو	ك	كال	ها	هم	تنوين النصب للجمع	شرح
258	مُعْتَرَكٌ	معترك	عرك		مفعول	اِعْتَرَكَ		مذكر			مفرد	+ات 		ة	DnT	Pf			Tn									"(مفع. مِن اِعْتَرَكَ). 1.""يُصَارِعُ فِي مُعْتَرَكِ الْحَيَاةِ"" : فِي خِضَمِّهَا. 2.""دَخَلَ الْمُحَارِبُونَ الْمُعْتَرَكَ"" : مَوْضِعَ القِتَالِ."
259	مُعْتَصَمٌ	معتصم	عصم		مفعول	اِعْتَصَمَ		مذكر			مفرد	+ات 		ة	DnT	Pf			Tn									"مُعْتَصَمٌ-مُعْتَصَمٌ [ع ص م] (مفع. مِن اِعْتَصَمَ). ""اِلْتَجَأَ إِلَى مُعْتَصَمٍ آمِنٍ"" : مَلْجَأ، مَخْبَأ."
260	مُعْتَقٌ	معتق	عتق		مفعول	أَعْتَقَ		مذكر			مفرد	+ون;+ات 		ة	DnT	Pf	Pm		Tn			ـو						"(مفع. مِن أَعْتَقَ). ""عَبْدٌ مُعْتَقٌ"" : مُحَرَّرٌ."
261	مُعْتَقَدٌ	معتقد	عقد		مفعول	اِعْتَقَدَ		مذكر			مفرد	+ات		ة	DnT	Pf			Tn									"(مفع. مِن اِعْتَقَدَ). ""هَذَا تَصَوُّرُهُ حَسَبَ مُعْتَقَدِهِ"" : مَا يَعْتَقِدُهُ الإِنْسَانُ وَيُؤْمِنُ بِهِ بِحَيْثُ لاَ يَقْبَلُ فِيهِ الشَّكَّ. ""لِكُلِّ أُمَّةٍ مُعْتَقَدَاتُهَا""."
262	مُعْتَقَلٌ	معتقل	عقل		مفعول	اِعْتَقَلَ		مذكر			مفرد	+ون;+ات 		ة	DnT	Pf	Pm		Tn			ـو						"(مفع. مِن اِعْتَقَلَ). ""أَخْبَرُوهُ أَنَّ ابْنَهُ مُعْتَقَلٌ"" : أَيْ تَمَّ اعْتِقالهُ، حَبْسُهُ."
263	مُعْتَلٌّ	معتل	علل		مفعول	اِعْتَلَّ		مذكر			مفرد	+ون;+ات 		ة	DnT	Pf	Pm		Tn			ـو						"(مفع. مِن اِعْتَلَّ). 1.""مُعْتَلَّ الصِّحَّةِ"" : مَرِيضٌ، أَيْ مَنْ بِهِ عِلَّةٌ. 2.""فِعْلٌ مُعْتَلٌّ"": أَحَدُ حُرُوفِهِ مِنْ حُرُوفِ العِلَّةِ، أَيْ الأَلِفُ، الوَاوُ، اليَاءُ."
264	مُعْتَمَدٌ	معتمد	عمد		مفعول	اِعْتَمَدَ		مذكر			مفرد	+ون;+ات 		ة	DnT	Pf	Pm		Tn			ـو						"(مفع. مِن اِعْتَمَدَ). 1.""رَجُلٌ مُعْتَمَدٌ"" : أَيْ يُعْتَمَدُ عَلَيْهِ، يُتَّكَأُ عَلَيْهِ. 2.""مُعْتَمَدُ بِلاَدِهِ"" : وَكِيلُهَا، مُمَثِّلُهَا. ""مُعْتَمَدٌ عَسْكَرِيٌّ"" ""مُعْتَمَدٌ سِيَاسِيٌّ"". 3.""وَثِيقَةٌ مُعْتَمَدَةٌ"" : أَيْ مُوَثَّقَةٌ."
265	مُعْجَبٌ	معجب	عجب		مفعول	أَعْجَبَ		مذكر			مفرد	+ون;+ات 		ة	DnT	Pf	Pm		Tn			ـو						"(مفع. مِن أَعْجَبَ). ""مُعْجَبٌ بِنَفْسِهِ"" : مَزْهُو"
266	مُعَدٌّ	معد	عدد		مفعول	أَعَدَّ		مذكر			مفرد	+ون;+ات 		ة	DnT	Pf	Pm		Tn			ـو						"مُعَدٌّ-مُعَدٌّ، ةٌ [ع د د] (مفع. من أَعَدَّ). ""ثَوْبٌ مُعَدٌّ لِلْخِيَاطَةِ"" : جَاهِزٌ، مُهَيَّأٌ. ""كُلُّ شَيْءٍ مُعَدٌّ عَلَى أَحْسَنِ وَجْهٍ""."
267	مُعْطَى	معطى	عطي		مفعول	أَعْطَى		مذكر			مفرد	+ون			Dy		Pm		Tn									"(مفع. مِن أَعْطَى). ""جَاءَ بِمُعْطـىً جَدِيدٍ"" : بِمُسَلَّمَةٍ لِيَتَوَصَّلَ بِهَا إِلَى مَعْرِفَةِ قَضِيَّةٍ مَجْهُولَةٍ. ""طَرَحَ مُعْطَيَاتٍ لِلتَّفْكِيرِ فِيهَا""."
