#رقم	مشكول	غير مشكول	جذر	وزن	صنف	أصل	معرفة	جنس	مؤنث	مذكر	عدد	الجمع	مفرد	التأنيث	التثنية	ج. مؤ. س.	ج. مذ. س.	المنقوص	تنوين النصب	نسب	إض. لف.	ـو	ك	كال	ها	هم	تنوين النصب للجمع	شرح
378	مُسْتَعِيرٌ	مستعير	عور		فاعل	اِسْتَعَارَ		مذكر			مفرد	+ون;+ات 		Ta	DnT	Pf	Pm		Tn		Cv	ـو						"(فَا. مِن اِسْتَعَارَ). 1.""مُسْتَعِيرٌ لِكُتُبٍ عِلْمِيَّةٍ"" : مَنْ يَطْلُبُ إِعَارَتَهَا، مَنْ يَسْتَعِيرُ... 2.""هُوَ مُسْتَعِيرٌ "" : مَدِينٌ، مَدْيُونٌ."
6426	مُعْوِرٌ	معور	عور	مُفْعِلٌ	فاعل	أَعْوَرَ		مذكر			مفرد	+ون;+ات		Ta	DnT	Pf	Pm		Tn									
535	مُعْوِزٌ	معوز	عوز		فاعل	أَعْوَزَ		مذكر			مفرد	+ون;+ات 		Ta	DnT	Pf	Pm		Tn									"(فَا. مِن أَعْوَزَ). ""رَجُلٌ "
2716	عَائِزٌ	عائز	عوز		فاعل	عَازَ		مذكر			مفرد	ون;ات;عَوَائِزُ 		Ta	DnT	Pf	Pm		Tn									"(فا. مِنْ عَازَ). ""رَجُلٌ عَائِزٌ"" : مُفْتَقِرٌ، أَعْوَزُ."
2717	عَوَائِزُ	عوائز	عوز								جمع		عَائِزٌ														Non	
2929	مُعَوِّضٌ	معوض	عوض		فاعل	عَوَّضَ		مذكر			مفرد	+ون;+ات 		Ta	DnT	Pf	Pm		Tn		Cv	ـو						"(فَا. مِن عَوَّضَ). ""مُعَوِّضٌ كُلَّ الخَسَائِرِ"" : أَيْ مَنْ يُعَوِّضُ، يُعْطِي مَا يُقَابِلُ كُلَّ الخَسَائِرِ."
2930	عَنَدَةٌ	عندة	عوض								جمع		عَانِدٌ						Tn									
2722	عَائِقٌ	عائق	عوق		فاعل	عَاقَ		مذكر			مفرد	+ون;+ات;عَوَائِقُ 		Ta	DnT	Pf	Pm		Tn		Cv	ـو						"(فا. مِنْ عَاقَ). 1.""مَنَعَهُ عَائِقٌ مِنَ الْوُصُولِ إِلَى عَمَلِهِ"" : مَانِعٌ، حَاجِزٌ، كُلُّ مَا يَعُوقُ الْمَرْءَ وَيَمْنَعُهُ. ""إِن"
2723	عَوَائِقُ	عوائق	عوق								جمع		عَائِقٌ														Non	
6427	مُعَوِّقٌ	معوق	عوق	مُفَعِّلٌ	فاعل	عَوَّقَ		مذكر			مفرد	+ون;+ات		Ta	DnT	Pf	Pm		Tn									
501	مُعِيلٌ	معيل	عول		فاعل	أَعَالَ		مذكر			مفرد	+ون;+ات 		Ta	DnT	Pf	Pm		Tn		Cv	ـو						"(فَا. مِن أَعَالَ). 1.""مُعِيلٌ عِيَالَهُ"" : أَي القَائِمُ بِأَوَدِهِمْ وم"
2726	عَائِلٌ	عائل	عول		فاعل	عَالَ		مذكر			مفرد	+ون;+ات;عَالَةٌ;عُيَّلٌ;عَيْلَى 		Ta	DnT	Pf	Pm		Tn									"(فا. مِنْ عَالَ). 1.""هُوَ رَجُلٌ عَائِلٌ"" : كَثِيرُ الْعِيَالِ. 2.""عَاشَ عَائِلاً طُولَ حَيَاتِهِ"" : مُفْتَقِرًا. 3.""عَائِلُ النَّبَاتِ"" : النَّبَاتُ الَّذِي يَعْتَمِد"
2727	عَالَةٌ	عالة	عول								جمع		عَائِلٌ						Tn									
